month,Features,No,score,F1,AUC
12,['CD4'],1,0.6666666666666666,0.7826086956521738,0.5416666666666667
12,['CD4'],2,0.6,0.7499999999999999,0.5
12,['CD4'],3,0.4666666666666667,0.6,0.3977272727272727
12,['CD4'],4,0.4,0.5263157894736842,0.35
12,['CD4'],5,0.7333333333333333,0.8333333333333334,0.5833333333333335
12,['CD4'],6,0.7333333333333333,0.8000000000000002,0.7000000000000001
12,['CD4'],7,0.7333333333333333,0.7777777777777778,0.7222222222222223
12,['CD4'],8,0.8,0.8571428571428572,0.7840909090909092
12,['CD4'],9,0.7333333333333333,0.8,0.8333333333333333
12,['CD4'],10,0.8,0.88,0.8928571428571428
12,['CD4'],11,0.6666666666666666,0.8,0.38461538461538464
12,['CD4'],12,0.5333333333333333,0.631578947368421,0.5
12,['CD4'],13,0.6666666666666666,0.7368421052631577,0.65
12,['CD4'],14,0.6,0.625,0.5982142857142857
12,['CD4'],15,0.5333333333333333,0.6956521739130436,0.5
12,['CD4'],16,0.6666666666666666,0.8,0.5
12,['CD4'],17,0.7333333333333333,0.846153846153846,0.5
12,['CD4'],18,0.4666666666666667,0.6363636363636364,0.5
12,['CD4'],19,0.7333333333333333,0.8333333333333333,0.8571428571428572
12,['CD4'],20,0.6666666666666666,0.761904761904762,0.6136363636363636
12,['CD4'],21,0.5333333333333333,0.6956521739130436,0.5
12,['CD4'],22,0.8,0.8695652173913044,0.8846153846153846
12,['CD4'],23,0.6666666666666666,0.8,0.5
12,['CD4'],24,0.6666666666666666,0.7058823529411764,0.7000000000000002
12,['CD4'],25,0.7333333333333333,0.7999999999999999,0.7386363636363636
12,['CD4'],26,0.8,0.888888888888889,0.5
12,['CD4'],27,0.5333333333333333,0.6956521739130436,0.5
12,['CD4'],28,0.7333333333333333,0.8333333333333333,0.8571428571428572
12,['CD4'],29,0.6,0.6666666666666666,0.5833333333333333
12,['CD4'],30,0.6666666666666666,0.8,0.5
12,['CD4'],31,0.6666666666666666,0.8,0.5
12,['CD4'],32,0.8,0.8799999999999999,0.6730769230769231
12,['CD4'],33,0.7333333333333333,0.7999999999999999,0.7386363636363636
12,['CD4'],34,0.6,0.7000000000000001,0.5681818181818181
12,['CD4'],35,0.7333333333333333,0.8333333333333333,0.6346153846153846
12,['CD4'],36,0.7333333333333333,0.8181818181818182,0.65
12,['CD4'],37,0.6,0.7499999999999999,0.5
12,['CD4'],38,0.6,0.7272727272727272,0.5
12,['CD4'],39,0.7333333333333333,0.8181818181818182,0.6590909090909092
12,['CD4'],40,0.6666666666666666,0.8,0.5
12,['CD4'],41,0.7333333333333333,0.846153846153846,0.5
12,['CD4'],42,0.6,0.7499999999999999,0.5
12,['CD4'],43,0.6666666666666666,0.7368421052631579,0.6931818181818181
12,['CD4'],44,0.6666666666666666,0.8,0.5
12,['CD4'],45,0.6,0.7000000000000001,0.5681818181818181
12,['CD4'],46,0.7333333333333333,0.8181818181818182,0.7083333333333334
12,['CD4'],47,0.7333333333333333,0.846153846153846,0.5
12,['CD4'],48,0.7333333333333333,0.7999999999999999,0.7386363636363636
12,['CD4'],49,0.8666666666666667,0.9090909090909091,0.9166666666666667
12,['CD4'],50,0.7333333333333333,0.846153846153846,0.5
12,['CD4'],51,0.5333333333333333,0.6956521739130436,0.5
12,['CD4'],52,0.8,0.888888888888889,0.5
12,['CD4'],53,0.6666666666666666,0.8,0.5
12,['CD4'],54,0.7333333333333333,0.846153846153846,0.5
12,['CD4'],55,0.4666666666666667,0.6363636363636364,0.5
12,['CD4'],56,0.7333333333333333,0.8461538461538461,0.39285714285714285
12,['CD4'],57,0.6,0.7,0.55
