month,Features,No,score,F1,AUC
12,['TNM-Stage'],83,0.625,0.5,0.6031746031746033
12,['TNM-Stage'],84,0.5,0.42857142857142855,0.5
12,['TNM-Stage'],85,0.6875,0.7058823529411765,0.6875
12,['TNM-Stage'],86,0.5,0.42857142857142855,0.5
12,['TNM-Stage'],87,0.5625,0.4615384615384615,0.5625
12,['TNM-Stage'],88,0.6875,0.6666666666666667,0.7063492063492064
12,['TNM-Stage'],89,0.6875,0.6666666666666666,0.6875
12,['TNM-Stage'],90,0.6875,0.6153846153846153,0.6746031746031746
12,['TNM-Stage'],91,0.5625,0.0,0.45
12,['TNM-Stage'],92,0.6875,0.761904761904762,0.8076923076923077
12,['TNM-Stage'],93,0.5625,0.5882352941176471,0.6272727272727273
12,['TNM-Stage'],94,0.6875,0.7058823529411765,0.6904761904761905
12,['TNM-Stage'],95,0.5,0.3333333333333333,0.4761904761904762
12,['TNM-Stage'],96,0.6875,0.6153846153846153,0.7222222222222222
12,['TNM-Stage'],97,0.75,0.6666666666666666,0.7301587301587301
12,['TNM-Stage'],98,0.4375,0.30769230769230765,0.42063492063492064
12,['TNM-Stage'],99,0.5625,0.5882352941176471,0.5634920634920635
12,['TNM-Stage'],100,0.5625,0.5882352941176471,0.5634920634920635
12,"['TNM-Stage', 'CD4']",1,0.6875,0.6153846153846153,0.7916666666666666
12,"['TNM-Stage', 'CD4']",2,0.5625,0.5882352941176471,0.6166666666666667
12,"['TNM-Stage', 'CD4']",3,0.6875,0.7058823529411765,0.6875
12,"['TNM-Stage', 'CD4']",4,0.625,0.6250000000000001,0.6349206349206349
12,"['TNM-Stage', 'CD4']",5,0.5625,0.631578947368421,0.5625
12,"['TNM-Stage', 'CD4']",6,0.6875,0.6153846153846153,0.7222222222222222
12,"['TNM-Stage', 'CD4']",7,0.5,0.5,0.5
12,"['TNM-Stage', 'CD4']",8,0.6875,0.7368421052631577,0.6746031746031745
12,"['TNM-Stage', 'CD4']",9,0.5625,0.6666666666666666,0.5317460317460317
12,"['TNM-Stage', 'CD4']",10,0.5,0.4285714285714285,0.5666666666666668
12,"['TNM-Stage', 'CD4']",11,0.5625,0.6666666666666666,0.5166666666666667
12,"['TNM-Stage', 'CD4']",12,0.6875,0.761904761904762,0.6875
12,"['TNM-Stage', 'CD4']",13,0.4375,0.4,0.4833333333333334
12,"['TNM-Stage', 'CD4']",14,0.625,0.5714285714285714,0.6190476190476191
12,"['TNM-Stage', 'CD4']",15,0.5,0.6,0.47619047619047616
12,"['TNM-Stage', 'CD4']",16,0.5,0.3333333333333333,0.5
12,"['TNM-Stage', 'CD4']",17,0.5625,0.631578947368421,0.5625
12,"['TNM-Stage', 'CD4']",18,0.625,0.7000000000000001,0.6031746031746033
12,"['TNM-Stage', 'CD4']",19,0.5625,0.631578947368421,0.55
12,"['TNM-Stage', 'CD4']",20,0.4375,0.39999999999999997,0.5416666666666667
