month,No,CD4,PD-1,GAL 9 TIL,HLA TIL,score,F1,AUC
12,1,0.3844651186699761,0.09634674853925111,0.1247009346151532,0.39448719817561956,0.75,0.75,0.7619047619047621
12,2,0.3690768850437367,0.14257921271488497,0.2724934831891123,0.2158504190522661,0.6875,0.7368421052631579,0.6875
12,3,0.2971123260774814,0.13605415509178057,0.15898490466268128,0.4078486141680568,0.6875,0.6153846153846153,0.7222222222222222
12,4,0.3464636431266709,0.1939615638245794,0.18592235624865844,0.2736524368000912,0.875,0.9090909090909091,0.8545454545454546
12,5,0.3799861117609802,0.11815857269923911,0.2141529595915747,0.28770235594820587,0.625,0.7,0.6
12,6,0.4426505091953057,0.14367037375175545,0.14620471189502582,0.2674744051579131,0.625,0.6666666666666665,0.6333333333333334
12,7,0.2811888811990402,0.14770050961604322,0.1447974055748589,0.4263132036100578,0.5,0.5555555555555556,0.5
12,8,0.3504038865891102,0.062258306713107274,0.13846845741939015,0.4488693492783924,0.5625,0.6956521739130435,0.48333333333333334
12,9,0.3804336653474212,0.14633560011213975,0.1600588946509337,0.31317183988950537,0.625,0.6666666666666666,0.75
12,10,0.3361956618046695,0.10413177198839679,0.20838073820783148,0.35129182799910225,0.75,0.7777777777777777,0.7666666666666667
12,11,0.43518350304372133,0.15230221398928998,0.23315918060643492,0.17935510236055371,0.5625,0.6666666666666666,0.5166666666666667
12,12,0.4836694111207267,0.09650145870042219,0.24440507237730666,0.17542405780154452,0.625,0.7272727272727274,0.5873015873015872
12,13,0.4676501070767397,0.08434481846028649,0.15887438420084532,0.28913069026212845,0.6875,0.7826086956521738,0.6166666666666667
12,14,0.40545809323740273,0.14107828897813118,0.1865635390476141,0.2669000787368519,0.875,0.9090909090909091,0.8333333333333334
12,15,0.37935311025619145,0.08778076316539792,0.17893553590940273,0.35393059066900784,0.75,0.7777777777777778,0.746031746031746
12,16,0.3297529833171134,0.15154163052419817,0.20622557646868117,0.3124798096900074,0.5625,0.631578947368421,0.5625
12,17,0.3973073904807286,0.15562779771831745,0.17981980353437294,0.2672450082665811,0.6875,0.7058823529411765,0.6875
12,18,0.30099528572595685,0.053329421713235146,0.17251573700930256,0.47315955555150546,0.625,0.625,0.6666666666666667
12,19,0.42889227756011405,0.1469307462753929,0.0976680920248809,0.3265088841396121,0.5,0.4285714285714285,0.5666666666666668
12,20,0.36095842797366295,0.12117589381618353,0.20218252999444702,0.3156831482157066,0.6875,0.7368421052631577,0.6746031746031745
12,21,0.44679777265816945,0.11999168068781621,0.2485916775941815,0.18461886905983305,0.625,0.7272727272727273,0.5636363636363636
12,22,0.3708242412468391,0.10292354377912918,0.13259234893030658,0.3936598660437251,0.5625,0.631578947368421,0.625
12,23,0.46970744568622275,0.14738489497332374,0.1728333525485537,0.21007430679189987,0.625,0.6666666666666666,0.619047619047619
12,24,0.3686172537811116,0.18204902316926597,0.17295551400405615,0.2763782090455663,0.75,0.8333333333333333,0.6666666666666667
12,25,0.40255988355350075,0.11084781347225753,0.2672552545786134,0.21933704839562831,0.8125,0.8571428571428572,0.7833333333333334
12,26,0.4678149941839577,0.14937161748446645,0.1725659862824365,0.21024740204913928,0.6875,0.7368421052631577,0.6833333333333335
12,27,0.35109333875269644,0.16368187927247907,0.30438500323722056,0.1808397787376039,0.6875,0.761904761904762,0.6636363636363637
12,28,0.2953416267799724,0.16002095028604543,0.232966241303,0.3116711816309822,0.875,0.888888888888889,0.875
12,29,0.37711935794328044,0.16446037528958893,0.20566738080399308,0.25275288596313755,0.75,0.7777777777777777,0.75
12,30,0.5096141656630949,0.18790513999886982,0.06820403065461095,0.23427666368342437,0.5,0.5,0.5079365079365079
12,31,0.30054230611024685,0.08690287849306466,0.12619668581414026,0.48635812958254826,0.5625,0.46153846153846156,0.5952380952380952
12,32,0.3578914825864611,0.03212121649903948,0.15085514459962968,0.45913215631486975,0.625,0.6666666666666665,0.6333333333333334
12,33,0.3687694002154863,0.10505697621255322,0.2845678429705075,0.241605780601453,0.625,0.7272727272727272,0.5666666666666667
12,34,0.41339253324019976,0.051049010328985775,0.26660230733768703,0.2689561490931274,0.6875,0.761904761904762,0.6636363636363637
12,35,0.25686955674911605,0.09487191439916398,0.14038336862319925,0.5078751602285208,0.5625,0.6666666666666666,0.5166666666666667
12,36,0.4260339125926518,0.09599722340853127,0.05981646846071157,0.4181523955381054,0.5,0.5,0.5079365079365079
12,37,0.5266195249239788,0.0,0.2890278172778189,0.18435265779820237,0.625,0.6666666666666665,0.6507936507936507
12,38,0.32561100475175203,0.1317894535618051,0.18076802217539772,0.3618315195110451,0.6875,0.7368421052631577,0.6833333333333335
12,39,0.2982528904301338,0.1505630654143045,0.2209769965278607,0.330207047627701,0.5,0.5555555555555556,0.6923076923076923
12,40,0.4814787159640944,0.06870404186149634,0.2324540233921005,0.21736321878230877,0.6875,0.7826086956521738,0.6090909090909091
