month,Features,No,score,F1,AUC
12,['CD4'],1,0.6666666666666666,0.7199999999999999,0.6586538461538461
12,['CD4'],2,0.7619047619047619,0.7058823529411765,0.7596153846153846
12,['CD4'],3,0.5238095238095238,0.6153846153846153,0.5166666666666666
12,['CD4'],4,0.8095238095238095,0.7777777777777778,0.8055555555555555
12,['CD4'],5,0.7619047619047619,0.7368421052631577,0.7638888888888888
12,['CD4'],6,0.6190476190476191,0.7142857142857143,0.5714285714285715
12,['CD4'],7,0.6190476190476191,0.6363636363636364,0.6181818181818182
12,['CD4'],8,0.6190476190476191,0.6666666666666667,0.6201923076923077
12,['CD4'],9,0.6666666666666666,0.7199999999999999,0.6586538461538461
12,['CD4'],10,0.7619047619047619,0.8275862068965518,0.7142857142857143
12,['CD4'],11,0.9047619047619048,0.9166666666666666,0.9
12,['CD4'],12,0.7142857142857143,0.625,0.6971153846153846
12,['CD4'],13,0.6666666666666666,0.6666666666666666,0.6805555555555556
12,['CD4'],14,0.6666666666666666,0.6666666666666666,0.6681818181818182
12,['CD4'],15,0.7619047619047619,0.761904761904762,0.7636363636363637
12,['CD4'],16,0.7142857142857143,0.6666666666666666,0.7083333333333334
12,['CD4'],17,0.6190476190476191,0.6666666666666667,0.6136363636363636
12,['CD4'],18,0.7619047619047619,0.7368421052631577,0.759090909090909
12,['CD4'],19,0.5714285714285714,0.64,0.5555555555555555
12,['CD4'],20,0.8095238095238095,0.7777777777777777,0.8221153846153845
12,['CD4'],21,0.6666666666666666,0.631578947368421,0.6666666666666667
12,['CD4'],22,0.6666666666666666,0.7199999999999999,0.6527777777777778
12,['CD4'],23,0.8095238095238095,0.8181818181818182,0.8136363636363636
12,['CD4'],24,0.6666666666666666,0.6666666666666666,0.6805555555555556
12,['CD4'],25,0.7142857142857143,0.7,0.7136363636363636
12,['CD4'],26,0.8571428571428571,0.7999999999999999,0.8571428571428572
12,['CD4'],27,0.7619047619047619,0.7826086956521738,0.763888888888889
12,['CD4'],28,0.6666666666666666,0.6666666666666666,0.6681818181818182
12,['CD4'],29,0.7619047619047619,0.761904761904762,0.7777777777777777
12,['CD4'],30,0.7619047619047619,0.7368421052631577,0.759090909090909
12,['CD4'],31,0.8095238095238095,0.7999999999999999,0.8194444444444444
12,['CD4'],32,0.6190476190476191,0.7142857142857142,0.5721153846153846
12,['CD4'],33,0.5714285714285714,0.608695652173913,0.5817307692307692
12,['CD4'],34,0.5714285714285714,0.6086956521739131,0.5972222222222221
12,['CD4'],35,0.7142857142857143,0.7272727272727272,0.7181818181818183
12,['CD4'],36,0.6666666666666666,0.6666666666666666,0.6681818181818181
12,['CD4'],37,0.8095238095238095,0.75,0.7980769230769231
12,['CD4'],38,0.6666666666666666,0.4615384615384615,0.6105769230769231
12,['CD4'],39,0.7142857142857143,0.7,0.7136363636363636
12,['CD4'],40,0.8095238095238095,0.8181818181818182,0.8090909090909092
12,['CD4'],41,0.8095238095238095,0.75,0.7916666666666666
12,['CD4'],42,0.7142857142857143,0.7000000000000001,0.7222222222222223
12,['CD4'],43,0.7619047619047619,0.8148148148148148,0.7355769230769231
12,['CD4'],44,0.6190476190476191,0.6923076923076924,0.5972222222222222
12,['CD4'],45,0.6190476190476191,0.6363636363636364,0.6181818181818182
12,['CD4'],46,0.7619047619047619,0.8484848484848484,0.6428571428571428
12,['CD4'],47,0.7142857142857143,0.75,0.7083333333333334
12,['CD4'],48,0.7619047619047619,0.8,0.7596153846153846
12,['CD4'],49,0.7142857142857143,0.7000000000000001,0.7181818181818181
12,['CD4'],50,0.7619047619047619,0.7368421052631577,0.7638888888888888
12,['CD4'],51,0.8095238095238095,0.75,0.7916666666666666
12,['CD4'],52,0.8095238095238095,0.8,0.8461538461538461
12,['CD4'],53,0.7619047619047619,0.6666666666666666,0.7355769230769231
12,['CD4'],54,0.7142857142857143,0.7272727272727274,0.7361111111111109
12,['CD4'],55,0.7619047619047619,0.7368421052631579,0.8214285714285714
12,['CD4'],56,0.6190476190476191,0.6363636363636364,0.6181818181818182
12,['CD4'],57,0.6666666666666666,0.6666666666666666,0.6681818181818181
12,['CD4'],58,0.8571428571428571,0.8571428571428572,0.859090909090909
12,['CD4'],59,0.6666666666666666,0.7199999999999999,0.6586538461538461
12,['CD4'],60,0.7619047619047619,0.7058823529411765,0.75
12,['CD4'],61,0.7619047619047619,0.761904761904762,0.7636363636363637
12,['CD4'],62,0.8571428571428571,0.88,0.8928571428571428
12,['CD4'],63,0.6666666666666666,0.631578947368421,0.7142857142857143
12,['CD4'],64,0.7142857142857143,0.625,0.6971153846153846
12,['CD4'],65,0.6666666666666666,0.6956521739130435,0.6666666666666667
12,['CD4'],66,0.7142857142857143,0.5714285714285714,0.74375
12,['CD4'],67,0.6666666666666666,0.631578947368421,0.6666666666666667
12,['CD4'],68,0.7619047619047619,0.761904761904762,0.7636363636363637
12,['CD4'],69,0.7619047619047619,0.7058823529411764,0.7857142857142858
12,['CD4'],70,0.6666666666666666,0.631578947368421,0.6636363636363637
12,['CD4'],71,0.8095238095238095,0.8333333333333333,0.8221153846153846
12,['CD4'],72,0.8095238095238095,0.75,0.7980769230769231
12,['CD4'],73,0.6190476190476191,0.6923076923076923,0.5961538461538461
12,['CD4'],74,0.9523809523809523,0.9523809523809523,0.9545454545454545
12,['CD4'],75,0.6190476190476191,0.6923076923076923,0.5961538461538461
12,['CD4'],76,0.6190476190476191,0.6666666666666667,0.6136363636363636
12,['CD4'],77,0.7619047619047619,0.7368421052631577,0.759090909090909
12,['CD4'],78,0.6190476190476191,0.3333333333333333,0.5480769230769231
12,['CD4'],79,0.7142857142857143,0.8000000000000002,0.6490384615384616
12,['CD4'],80,0.6666666666666666,0.6956521739130435,0.6727272727272727
12,['CD4'],81,0.6190476190476191,0.6363636363636364,0.6181818181818182
12,['CD4'],82,0.6190476190476191,0.6,0.6682692307692308
12,['CD4'],83,0.7142857142857143,0.7,0.7136363636363636
12,['CD4'],84,0.8095238095238095,0.7142857142857143,0.875
12,['CD4'],85,0.7142857142857143,0.7692307692307692,0.7142857142857143
12,['CD4'],86,0.6666666666666666,0.5333333333333333,0.6666666666666667
12,['CD4'],87,0.7142857142857143,0.7272727272727273,0.7136363636363636
12,['CD4'],88,0.6666666666666666,0.6956521739130435,0.6666666666666667
12,['CD4'],89,0.7142857142857143,0.7272727272727274,0.7361111111111109
12,['CD4'],90,0.7619047619047619,0.761904761904762,0.7636363636363637
12,['CD4'],91,0.7142857142857143,0.6666666666666665,0.7211538461538461
12,['CD4'],92,0.7142857142857143,0.7692307692307693,0.6971153846153847
12,['CD4'],93,0.7619047619047619,0.7826086956521738,0.763888888888889
12,['CD4'],94,0.7619047619047619,0.761904761904762,0.7636363636363637
12,['CD4'],95,0.5714285714285714,0.6666666666666666,0.5357142857142857
12,['CD4'],96,0.6190476190476191,0.6,0.6181818181818183
12,['CD4'],97,0.7142857142857143,0.7000000000000001,0.7361111111111112
12,['CD4'],98,0.8571428571428571,0.8695652173913043,0.8545454545454546
12,['CD4'],99,0.6190476190476191,0.5555555555555556,0.6136363636363635
12,['CD4'],100,0.6190476190476191,0.6363636363636365,0.6227272727272727
12,['PD-1'],1,0.47619047619047616,0.2666666666666667,0.5769230769230769
12,['PD-1'],2,0.38095238095238093,0.5517241379310345,0.5
